contract_id,bp_type_id,me,te,runs_per_copy,bpc_copy_count,total_bpc_runs,contract_price,price_per_run,start_location_id,contract_region_id_raw,contract_system_id_raw,date_expired,title,bpc_benchmark_type_id,bpc_benchmark_me,bpc_benchmark_te,bpc_market_sample_count,bpc_market_avg_per_run,bpc_market_median_per_run,bpc_market_p25_per_run,bpc_market_p75_per_run,bpc_market_basis,bpc_current_cost_per_run,bpc_discount_vs_avg,bpc_discount_vs_median,bpc_contract_market_value_est,bpc_intrinsic_value_surplus,station_name,system_id,system_name,region_id,security,secure_jumps_to_jita,shortest_jumps_to_jita,risk_tier,risk_rank,is_player_structure,friendly_sov,friendly_region,sov_alliance_id,friendly_alliance_id,friendly_alliance_name,friendly_alliance_ticker,bpc_value_score,blueprint_name,blueprints,date_issued,contract_age_hours,mail_freshness_score,bpc_intrinsic_signal,mail_eligible,mail_filter_reason
235545861,28353,10.0,14.0,1.0,1,1,15000000.0,15000000.0,60001096,10000020,0,2026-09-27T17:04:40Z,Me 10,28353,10.0,14.0,6,26250000.0,28500000.0,28500000.0,28500000.0,same_type_ME10_TE14,15000000.0,-0.4285714285714286,-0.4736842105263158,26250000.0,11250000.0,Tash-Murkon Prime II - Moon 1 - Kaalakiota Corporation Factory,30001671,Tash-Murkon Prime,10000020,0.8,47,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,50.5,Rorqual Blueprint,"1x Rorqual Blueprint [1 total runs, ME10/TE14]",2026-08-30T17:04:40+00:00,91.36985955527778,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235313506,92182,0.0,0.0,5.0,11,55,400000000.0,7272727.272727272,1035603743755,10000003,0,2026-09-20T16:40:26Z,,92182,0.0,0.0,19,9789473.663157895,10000000.0,10000000.0,11000000.0,same_type_ME0_TE0,7272727.272727272,-0.2570869974248205,-0.2727272727272727,538421051.4736842,138421051.4736842,玩家建筑 1035603743755,30000240,4-HWWF,10000003,-0.5,-1,16,D 非友军00高风险,4,True,False,False,99003581,99013541,Fraternity Auxiliary,F.A.X,50.5,CONCORD-Carrier Rogue Analysis Beacon Blueprint,"11x CONCORD-Carrier Rogue Analysis Beacon Blueprint [55 total runs, ME0/TE0]",2026-08-23T16:40:26+00:00,259.77374844416664,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235108472,25509,0.0,0.0,50.0,9,450,36000000.0,80000.0,60011866,10000032,0,2026-09-14T10:43:16Z,BPC Booster PACK,25509,0.0,0.0,37,122097.99103916752,120000.0,120000.0,120000.0,same_type_ME0_TE0,80000.0,-0.3447885643397932,-0.3333333333333333,54944095.96762538,18944095.96762538,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,30002659,Dodixie,10000032,0.9,15,12,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,50.3,Standard Frentix Booster Blueprint,"9x Standard Frentix Booster Blueprint [450 total runs, ME0/TE0]",2026-08-17T10:43:16+00:00,409.7265262219444,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235416000,999,10.0,20.0,10.0,6,60,30000000.0,500000.0,60008494,10000043,0,2026-09-23T21:40:42Z,BS Dominix 10/20 X60 Runs,999,10.0,20.0,57,797140.350877193,600000.0,500000.0,1230000.0,same_type_ME10_TE20,500000.0,-0.3727578845434338,-0.1666666666666666,47828421.05263158,17828421.05263158,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,50.0,Dominix Blueprint,"6x Dominix Blueprint [60 total runs, ME10/TE20]",2026-08-26T21:40:42+00:00,182.7693039997222,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235520180,999,10.0,20.0,10.0,6,60,30000000.0,500000.0,60008494,10000043,0,2026-09-27T02:26:10Z,BS Dominix 10/20 X60 Runs,999,10.0,20.0,57,797140.350877193,600000.0,500000.0,1230000.0,same_type_ME10_TE20,500000.0,-0.3727578845434338,-0.1666666666666666,47828421.05263158,17828421.05263158,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,50.0,Dominix Blueprint,"6x Dominix Blueprint [60 total runs, ME10/TE20]",2026-08-30T02:26:10+00:00,106.01152622194445,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235372358,19721,8.0,14.0,1.0,1,1,14900000.0,14900000.0,1053970513596,10000003,0,2026-09-22T13:27:40Z,,19721,8.0,14.0,9,26666666.666666668,32000000.0,20000000.0,32000000.0,same_type_ME8_TE14,14900000.0,-0.44125,-0.534375,26666666.666666668,11766666.666666668,玩家建筑 1053970513596,30000240,4-HWWF,10000003,-0.5,-1,16,D 非友军00高风险,4,True,False,False,99003581,99013541,Fraternity Auxiliary,F.A.X,48.9,Revelation Blueprint,"1x Revelation Blueprint [1 total runs, ME8/TE14]",2026-08-25T13:27:40+00:00,214.98652622194444,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235264427,20190,10.0,14.0,1.0,1,1,25000000.0,25000000.0,60008494,10000043,0,2026-09-19T11:58:44Z,,20190,10.0,14.0,14,39500000.0,48000000.0,30000000.0,48000000.0,same_type_ME10_TE14,25000000.0,-0.3670886075949366,-0.4791666666666666,39500000.0,14500000.0,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,48.9,Fenrir Blueprint,"1x Fenrir Blueprint [1 total runs, ME10/TE14]",2026-08-22T11:58:44+00:00,288.46874844416664,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235264431,20190,10.0,14.0,1.0,1,1,25000000.0,25000000.0,60008494,10000043,0,2026-09-19T11:58:54Z,,20190,10.0,14.0,14,39500000.0,48000000.0,30000000.0,48000000.0,same_type_ME10_TE14,25000000.0,-0.3670886075949366,-0.4791666666666666,39500000.0,14500000.0,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,48.9,Fenrir Blueprint,"1x Fenrir Blueprint [1 total runs, ME10/TE14]",2026-08-22T11:58:54+00:00,288.4659706663889,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235264438,20190,10.0,14.0,1.0,1,1,25000000.0,25000000.0,60008494,10000043,0,2026-09-19T11:59:04Z,,20190,10.0,14.0,14,39500000.0,48000000.0,30000000.0,48000000.0,same_type_ME10_TE14,25000000.0,-0.3670886075949366,-0.4791666666666666,39500000.0,14500000.0,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,48.9,Fenrir Blueprint,"1x Fenrir Blueprint [1 total runs, ME10/TE14]",2026-08-22T11:59:04+00:00,288.4631928886111,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235264447,20190,10.0,14.0,1.0,1,1,25000000.0,25000000.0,60008494,10000043,0,2026-09-19T11:59:17Z,,20190,10.0,14.0,14,39500000.0,48000000.0,30000000.0,48000000.0,same_type_ME10_TE14,25000000.0,-0.3670886075949366,-0.4791666666666666,39500000.0,14500000.0,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,48.9,Fenrir Blueprint,"1x Fenrir Blueprint [1 total runs, ME10/TE14]",2026-08-22T11:59:17+00:00,288.4595817775,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
